imageone,imagetwo,imagethree,imagefour,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,stimulus_type,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,text.started,text.stopped,Cross.started,Cross.stopped,Presentation_image_1_f1.started,Presentation_image_1_f1.stopped,Presentation_image_2_f1.started,Presentation_image_2_f1.stopped,Presentation_image_3_f1.started,Presentation_image_3_f1.stopped,Presentation_image_4_f1.started,Presentation_image_4_f1.stopped,Cross_2.started,Cross_2.stopped,Presentation_image_f2_1.started,Presentation_image_f2_1.stopped,Presentation_image_f2_2.started,Presentation_image_f2_2.stopped,Presentation_image_2_f2_1.started,Presentation_image_2_f2_1.stopped,Presentatio_image_2_f2_2.started,Presentatio_image_2_f2_2.stopped,Presentation_image_3_f2_1.started,Presentation_image_3_f2_1.stopped,Presentation_image_3_f2_2.started,Presentation_image_3_f2_2.stopped,Presentation_image_4_f2_1.started,Presentation_image_4_f2_1.stopped,Presentation_image_4_f2_2.started,Presentation_image_4_f2_2.stopped,Fixation_cross.started,Fixation_cross.stopped,Topleft.started,Topleft.stopped,Topright.started,Topright.stopped,Bottomleft.started,Bottomleft.stopped,Bottomright.started,Bottomright.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_scrambled\LZ_scrambled_168.jpg,LZ_scrambled\LZ_scrambled_126.jpg,LZ_scrambled\LZ_scrambled_115.jpg,LZ_scrambled\LZ_scrambled_143.jpg,4,LZ_scrambled\LZ_scrambled_168.jpg,LZ_scrambled\LZ_scrambled_15.jpg,LZ_scrambled\LZ_scrambled_218.jpg,LZ_scrambled\LZ_scrambled_2.jpg,    a,2,24,0,0,0,0,13.941875600023195,None,15.065506200073287,16.08724860008806,16.083104800083674,17.082896400010213,17.063265300006606,18.070466900011525,18.065373599994928,19.069200500031002,19.06296090001706,None,20.07618309999816,21.07576770009473,21.070231500081718,21.575797300087288,21.570031300070696,22.06998500006739,22.06998500006739,22.575657100067474,22.569632000057027,23.069235900067724,23.069235900067724,23.56927249999717,23.56927249999717,24.06929860007949,24.06929860007949,24.56935110001359,24.56935110001359,None,24.974938900093548,25.991203700075857,25.98333650000859,None,25.98333650000859,None,25.98333650000859,None,25.98333650000859,None,a,0,2.2307955999858677,0.9990315398899838,None,77,001,2020_Nov_23_2000,new_STLI,2020.2.4,144.39223865669805,
LZ_scrambled\LZ_scrambled_223.jpg,LZ_scrambled\LZ_scrambled_166.jpg,LZ_scrambled\LZ_scrambled_129.jpg,LZ_scrambled\LZ_scrambled_149.jpg,4,LZ_scrambled\LZ_scrambled_214.jpg,LZ_scrambled\LZ_scrambled_166.jpg,LZ_scrambled\LZ_scrambled_80.jpg,LZ_scrambled\LZ_scrambled_188.jpg,    z,2,24,0,1,1,1,,,28.26531749998685,29.27022060006857,29.257025900064036,30.25705230003223,30.25705230003223,31.257160900044255,31.257160900044255,32.257171700010076,32.257171700010076,None,33.31274100008886,34.31230810005218,34.30548890004866,34.80557239998598,34.80557239998598,35.305804200004786,35.305804200004786,35.8054593000561,35.8054593000561,36.30560570000671,36.30560570000671,36.80558690009639,36.80558690009639,37.305545400013216,37.305545400013216,37.80536530003883,37.80536530003883,None,38.28041240002494,39.29072950000409,39.28228350006975,None,39.28228350006975,None,39.28228350006975,None,39.28228350006975,None,m,0,3.2131820999784395,0.9992428000550717,None,77,001,2020_Nov_23_2000,new_STLI,2020.2.4,144.39223865669805,
LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_55.jpg,LZ_natural\LZ_natural_142.jpg,3,LZ_natural\LZ_natural_118.jpg,LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_135.jpg,LZ_natural\LZ_natural_215.jpg,    z,1,13,0,2,2,2,,,42.53063900000416,43.53435750002973,43.52792040002532,44.52795040002093,44.52795040002093,45.52803370007314,45.52803370007314,46.52764470002148,46.52764470002148,None,47.55543459998444,48.555550900055096,48.5485632000491,49.048484300030395,49.048484300030395,49.54827270004898,49.54827270004898,50.048523600096814,50.048523600096814,50.5487971000839,50.5487971000839,51.04842390003614,51.04842390003614,51.54854960006196,51.54854960006196,52.04888260003645,52.04888260003645,None,52.52839640004095,53.53293340001255,53.522833900060505,None,53.522833900060505,None,53.522833900060505,None,53.522833900060505,None,z,0,1.8088748999871314,1.0027683000080287,None,77,001,2020_Nov_23_2000,new_STLI,2020.2.4,144.39223865669805,
