imageone,imagetwo,imagethree,imagefour,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,text.started,text.stopped,Cross.started,Cross.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,Topleft.started,Topleft.stopped,Topright.started,Topright.stopped,Bottomleft.started,Bottomleft.stopped,Bottomright.started,Bottomright.stopped,Fixation_cross.started,Fixation_cross.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_noise\LZ_noise_10.jpg,LZ_noise\LZ_noise_146.jpg,LZ_noise\LZ_noise_9.jpg,LZ_noise\LZ_noise_45.jpg,4,LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_146.jpg,LZ_noise\LZ_noise_76.jpg,LZ_noise\LZ_noise_54.jpg,    z,0,0,0,0,11.557540600013454,None,12.659672000008868,13.700220700004138,13.691672299988568,14.695395399990957,14.65470000001369,15.65389379998669,15.65389379998669,16.653887599997688,16.653887599997688,None,18.579857500008075,None,18.579857500008075,None,18.579857500008075,None,18.579857500008075,None,17.584669500007294,18.591481599985855,a,1.8816092000051867,1.0076193000131752,None,,001,2020_Nov_19_1820,new_STLI,2020.2.4,143.7948909792591,
LZ_scrambled\LZ_scrambled_57.jpg,LZ_scrambled\LZ_scrambled_133.jpg,LZ_scrambled\LZ_scrambled_236.jpg,LZ_scrambled\LZ_scrambled_13.jpg,3,LZ_scrambled\LZ_scrambled_57.jpg,LZ_scrambled\LZ_scrambled_124.jpg,LZ_scrambled\LZ_scrambled_166.jpg,LZ_scrambled\LZ_scrambled_187.jpg,    a,0,1,1,1,,,20.6708357000025,21.67464270000346,21.66119539999636,22.661104600003455,22.661104600003455,23.66104949999135,23.66104949999135,24.66113029999542,24.66113029999542,None,26.663485400000354,None,26.663485400000354,None,26.663485400000354,None,26.663485400000354,None,25.670388500002446,26.674730600003386,z,0.9016152999829501,1.0069648000062443,None,,001,2020_Nov_19_1820,new_STLI,2020.2.4,143.7948909792591,
