﻿n,Presentation_image_f2_1.started_mean,Presentation_image_f2_1.started_raw,Presentation_image_f2_1.started_std,Presentation_image_f2_1.stopped_mean,Presentation_image_f2_1.stopped_raw,Presentation_image_f2_1.stopped_std,Presentation_image_f2_2.started_mean,Presentation_image_f2_2.started_raw,Presentation_image_f2_2.started_std,Presentation_image_f2_2.stopped_mean,Presentation_image_f2_2.stopped_raw,Presentation_image_f2_2.stopped_std,Presentation_image_f2_3.started_mean,Presentation_image_f2_3.started_raw,Presentation_image_f2_3.started_std,Presentation_image_f2_3.stopped_mean,Presentation_image_f2_3.stopped_raw,Presentation_image_f2_3.stopped_std,Presentation_image_f2_4.started_mean,Presentation_image_f2_4.started_raw,Presentation_image_f2_4.started_std,Presentation_image_f2_4.stopped_mean,Presentation_image_f2_4.stopped_raw,Presentation_image_f2_4.stopped_std,Presentation_image_f2_5.started_mean,Presentation_image_f2_5.started_raw,Presentation_image_f2_5.started_std,Presentation_image_f2_5.stopped_mean,Presentation_image_f2_5.stopped_raw,Presentation_image_f2_5.stopped_std,Presentation_image_f2_6.started_mean,Presentation_image_f2_6.started_raw,Presentation_image_f2_6.started_std,Presentation_image_f2_6.stopped_mean,Presentation_image_f2_6.stopped_raw,Presentation_image_f2_6.stopped_std,Presentation_image_f2_7.started_mean,Presentation_image_f2_7.started_raw,Presentation_image_f2_7.started_std,Presentation_image_f2_7.stopped_mean,Presentation_image_f2_7.stopped_raw,Presentation_image_f2_7.stopped_std,Presentation_image_f2_8.started_mean,Presentation_image_f2_8.started_raw,Presentation_image_f2_8.started_std,Presentation_image_f2_8.stopped_raw,order
1.0,65.64961242675781,65.64961242675781,0.0,66.0997085571289,66.0997085571289,0.0,66.13310241699219,66.13310241699219,0.0,66.58344268798828,66.58344268798828,0.0,66.63349914550781,66.63349914550781,0.0,67.0838851928711,67.0838851928711,0.0,67.13394927978516,67.13394927978516,0.0,67.58428192138672,67.58428192138672,0.0,67.63429260253906,67.63429260253906,0.0,68.08470153808594,68.08470153808594,0.0,68.13475799560547,68.13475799560547,0.0,68.5851058959961,68.5851058959961,0.0,68.63514709472656,68.63514709472656,0.0,69.08550262451172,69.08550262451172,0.0,69.13556671142578,69.13556671142578,0.0,,0.0

extraInfo
participant,
session,001
date,2020_Dec_16_1605
expName,new_STLI_practise
psychopyVersion,2020.2.10
frameRate,59.96156464455615
﻿n,Presentation_image_f2_1.started_mean,Presentation_image_f2_1.started_raw,Presentation_image_f2_1.started_std,Presentation_image_f2_1.stopped_mean,Presentation_image_f2_1.stopped_raw,Presentation_image_f2_1.stopped_std,Presentation_image_f2_2.started_mean,Presentation_image_f2_2.started_raw,Presentation_image_f2_2.started_std,Presentation_image_f2_2.stopped_mean,Presentation_image_f2_2.stopped_raw,Presentation_image_f2_2.stopped_std,Presentation_image_f2_3.started_mean,Presentation_image_f2_3.started_raw,Presentation_image_f2_3.started_std,Presentation_image_f2_3.stopped_mean,Presentation_image_f2_3.stopped_raw,Presentation_image_f2_3.stopped_std,Presentation_image_f2_4.started_mean,Presentation_image_f2_4.started_raw,Presentation_image_f2_4.started_std,Presentation_image_f2_4.stopped_mean,Presentation_image_f2_4.stopped_raw,Presentation_image_f2_4.stopped_std,Presentation_image_f2_5.started_mean,Presentation_image_f2_5.started_raw,Presentation_image_f2_5.started_std,Presentation_image_f2_5.stopped_mean,Presentation_image_f2_5.stopped_raw,Presentation_image_f2_5.stopped_std,Presentation_image_f2_6.started_mean,Presentation_image_f2_6.started_raw,Presentation_image_f2_6.started_std,Presentation_image_f2_6.stopped_mean,Presentation_image_f2_6.stopped_raw,Presentation_image_f2_6.stopped_std,Presentation_image_f2_7.started_mean,Presentation_image_f2_7.started_raw,Presentation_image_f2_7.started_std,Presentation_image_f2_7.stopped_mean,Presentation_image_f2_7.stopped_raw,Presentation_image_f2_7.stopped_std,Presentation_image_f2_8.started_mean,Presentation_image_f2_8.started_raw,Presentation_image_f2_8.started_std,Presentation_image_f2_8.stopped_raw,order
1.0,74.43990325927734,74.43990325927734,0.0,74.89029693603516,74.89029693603516,0.0,74.9236068725586,74.9236068725586,0.0,75.3740463256836,75.3740463256836,0.0,75.42406463623047,75.42406463623047,0.0,75.87443542480469,75.87443542480469,0.0,75.92445373535156,75.92445373535156,0.0,76.37478637695312,76.37478637695312,0.0,76.42488098144531,76.42488098144531,0.0,76.875244140625,76.875244140625,0.0,76.92530059814453,76.92530059814453,0.0,77.37569427490234,77.37569427490234,0.0,77.42572784423828,77.42572784423828,0.0,77.8760757446289,77.8760757446289,0.0,77.92608642578125,77.92608642578125,0.0,,0.0

extraInfo
participant,
session,001
date,2020_Dec_16_1605
expName,new_STLI_practise
psychopyVersion,2020.2.10
frameRate,59.96156464455615
﻿n,Presentation_image_f2_1.started_mean,Presentation_image_f2_1.started_raw,Presentation_image_f2_1.started_std,Presentation_image_f2_1.stopped_mean,Presentation_image_f2_1.stopped_raw,Presentation_image_f2_1.stopped_std,Presentation_image_f2_2.started_mean,Presentation_image_f2_2.started_raw,Presentation_image_f2_2.started_std,Presentation_image_f2_2.stopped_mean,Presentation_image_f2_2.stopped_raw,Presentation_image_f2_2.stopped_std,Presentation_image_f2_3.started_mean,Presentation_image_f2_3.started_raw,Presentation_image_f2_3.started_std,Presentation_image_f2_3.stopped_mean,Presentation_image_f2_3.stopped_raw,Presentation_image_f2_3.stopped_std,Presentation_image_f2_4.started_mean,Presentation_image_f2_4.started_raw,Presentation_image_f2_4.started_std,Presentation_image_f2_4.stopped_mean,Presentation_image_f2_4.stopped_raw,Presentation_image_f2_4.stopped_std,Presentation_image_f2_5.started_mean,Presentation_image_f2_5.started_raw,Presentation_image_f2_5.started_std,Presentation_image_f2_5.stopped_mean,Presentation_image_f2_5.stopped_raw,Presentation_image_f2_5.stopped_std,Presentation_image_f2_6.started_mean,Presentation_image_f2_6.started_raw,Presentation_image_f2_6.started_std,Presentation_image_f2_6.stopped_mean,Presentation_image_f2_6.stopped_raw,Presentation_image_f2_6.stopped_std,Presentation_image_f2_7.started_mean,Presentation_image_f2_7.started_raw,Presentation_image_f2_7.started_std,Presentation_image_f2_7.stopped_mean,Presentation_image_f2_7.stopped_raw,Presentation_image_f2_7.stopped_std,Presentation_image_f2_8.started_mean,Presentation_image_f2_8.started_raw,Presentation_image_f2_8.started_std,Presentation_image_f2_8.stopped_raw,order
1.0,82.863525390625,82.863525390625,0.0,83.31385040283203,83.31385040283203,0.0,83.34722137451172,83.34722137451172,0.0,83.79756164550781,83.79756164550781,0.0,83.84759521484375,83.84759521484375,0.0,84.2979736328125,84.2979736328125,0.0,84.3480224609375,84.3480224609375,0.0,84.79838562011719,84.79838562011719,0.0,84.84843444824219,84.84843444824219,0.0,85.29879760742188,85.29879760742188,0.0,85.34884643554688,85.34884643554688,0.0,85.79918670654297,85.79918670654297,0.0,85.84928131103516,85.84928131103516,0.0,86.29963684082031,86.29963684082031,0.0,86.34962463378906,86.34962463378906,0.0,,0.0

extraInfo
participant,
session,001
date,2020_Dec_16_1605
expName,new_STLI_practise
psychopyVersion,2020.2.10
frameRate,59.96156464455615
﻿n,Presentation_image_f2_1.started_mean,Presentation_image_f2_1.started_raw,Presentation_image_f2_1.started_std,Presentation_image_f2_1.stopped_mean,Presentation_image_f2_1.stopped_raw,Presentation_image_f2_1.stopped_std,Presentation_image_f2_2.started_mean,Presentation_image_f2_2.started_raw,Presentation_image_f2_2.started_std,Presentation_image_f2_2.stopped_mean,Presentation_image_f2_2.stopped_raw,Presentation_image_f2_2.stopped_std,Presentation_image_f2_3.started_mean,Presentation_image_f2_3.started_raw,Presentation_image_f2_3.started_std,Presentation_image_f2_3.stopped_mean,Presentation_image_f2_3.stopped_raw,Presentation_image_f2_3.stopped_std,Presentation_image_f2_4.started_mean,Presentation_image_f2_4.started_raw,Presentation_image_f2_4.started_std,Presentation_image_f2_4.stopped_mean,Presentation_image_f2_4.stopped_raw,Presentation_image_f2_4.stopped_std,Presentation_image_f2_5.started_mean,Presentation_image_f2_5.started_raw,Presentation_image_f2_5.started_std,Presentation_image_f2_5.stopped_mean,Presentation_image_f2_5.stopped_raw,Presentation_image_f2_5.stopped_std,Presentation_image_f2_6.started_mean,Presentation_image_f2_6.started_raw,Presentation_image_f2_6.started_std,Presentation_image_f2_6.stopped_mean,Presentation_image_f2_6.stopped_raw,Presentation_image_f2_6.stopped_std,Presentation_image_f2_7.started_mean,Presentation_image_f2_7.started_raw,Presentation_image_f2_7.started_std,Presentation_image_f2_7.stopped_mean,Presentation_image_f2_7.stopped_raw,Presentation_image_f2_7.stopped_std,Presentation_image_f2_8.started_mean,Presentation_image_f2_8.started_raw,Presentation_image_f2_8.started_std,Presentation_image_f2_8.stopped_raw,order
1.0,95.10696411132812,95.10696411132812,0.0,95.55726623535156,95.55726623535156,0.0,95.59059143066406,95.59059143066406,0.0,96.04096984863281,96.04096984863281,0.0,96.0910415649414,96.0910415649414,0.0,96.54137420654297,96.54137420654297,0.0,96.5914077758789,96.5914077758789,0.0,97.04182434082031,97.04182434082031,0.0,97.09180450439453,97.09180450439453,0.0,97.54225158691406,97.54225158691406,0.0,97.59220886230469,97.59220886230469,0.0,98.04256439208984,98.04256439208984,0.0,98.09266662597656,98.09266662597656,0.0,98.5429916381836,98.5429916381836,0.0,98.59304809570312,98.59304809570312,0.0,,0.0

extraInfo
participant,
session,001
date,2020_Dec_16_1605
expName,new_STLI_practise
psychopyVersion,2020.2.10
frameRate,59.96156464455615
