imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,fone_control_b1.thisRepN,fone_control_b1.thisTrialN,fone_control_b1.thisN,fone_control_b1.thisIndex,ftwo_control_b1.thisRepN,ftwo_control_b1.thisTrialN,ftwo_control_b1.thisN,ftwo_control_b1.thisIndex,fthree_control_b1.thisRepN,fthree_control_b1.thisTrialN,fthree_control_b1.thisN,fthree_control_b1.thisIndex,text.started,text.stopped,Crossm.started,Crossm.stopped,Presentation_image_f1_1.started,Presentation_image_f1_1.stopped,Presentation_image_f1_2.started,Presentation_image_f1_2.stopped,Presentation_image_f1_3.started,Presentation_image_f1_3.stopped,Presentation_image_f1_4.started,Presentation_image_f1_4.stopped,Fixation_cross.started,Fixation_cross.stopped,displayed_choice_image.started,displayed_choice_image.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_natural\LZ_natural_191.jpg,LZ_natural\LZ_natural_103.jpg,LZ_natural\LZ_natural_43.jpg,LZ_natural\LZ_natural_142.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_103.jpg,1,a,1,11,0,0,0,0,,,,,,,,,,,,,7.03776010000729,None,8.503266799991252,None,9.537383099988801,10.53829319999204,10.53829319999204,11.539073799998732,11.539073799998732,12.539975899999263,12.523244999989402,None,13.490897699986817,14.491590299992822,14.491590299992822,None,a,1,0.5953402000013739,1.0117314599920064,None,,001,2020_Dec_16_1615,new_STLI_practise,2020.2.10,59.918056066857915,
LZ_natural\LZ_natural_230.jpg,LZ_natural\LZ_natural_122.jpg,LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_155.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_122.jpg,1,a,1,11,0,1,1,1,,,,,,,,,,,,,,,15.1087983000034,None,16.12643410000601,17.12722650001524,17.110550100012915,18.111361999996006,18.111361999996006,19.11218649998773,19.11218649998773,None,20.11302779999096,21.1138357000018,21.097161799989408,None,a,1,0.5676984000019729,1.0071337599947583,None,,001,2020_Dec_16_1615,new_STLI_practise,2020.2.10,59.918056066857915,
LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_164.jpg,LZ_natural\LZ_natural_63.jpg,LZ_natural\LZ_natural_2.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_102.jpg,1,a,1,11,0,2,2,2,,,,,,,,,,,,,,,21.681175900012022,None,22.698777100013103,23.69954100000905,23.682798699999694,24.683619399991585,24.683619399991585,25.684440799988806,25.684440799988806,None,26.685279800003627,27.686104699998396,27.6694365000003,None,a,1,0.43167809999431483,1.0027636600134429,None,,001,2020_Dec_16_1615,new_STLI_practise,2020.2.10,59.918056066857915,
LZ_natural\LZ_natural_158.jpg,LZ_natural\LZ_natural_83.jpg,LZ_natural\LZ_natural_187.jpg,LZ_natural\LZ_natural_123.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_83.jpg,1,a,1,11,0,3,3,3,,,,,,,,,,,,,,,28.11979679999058,None,29.1372674999875,30.1381670999981,30.121408500010148,31.122257899987744,31.122257899987744,32.12305080000078,32.12305080000078,None,33.123884700005874,34.12473109998973,34.108007800008636,None,a,1,0.46397460001753643,1.0064727599965408,None,,001,2020_Dec_16_1615,new_STLI_practise,2020.2.10,59.918056066857915,
LZ_natural\LZ_natural_111.jpg,LZ_natural\LZ_natural_192.jpg,LZ_natural\LZ_natural_170.jpg,LZ_natural\LZ_natural_154.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_8.jpg,0,l,1,11,0,4,4,4,,,,,,,,,,,,,,,34.59174800000619,None,35.609248599997954,36.61008230000152,36.59338330000173,37.59422599998652,37.59422599998652,38.595025299990084,38.595025299990084,None,39.59580370000913,40.59669149998808,40.580022500013,None,l,1,1.6206889000022784,1.0105226599844173,None,,001,2020_Dec_16_1615,new_STLI_practise,2020.2.10,59.918056066857915,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.23134259998915,None,,,,,,,,,,,,,,,,,,,,,,,,
