imageone,imagetwo,imagethree,imagefour,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,text.started,text.stopped,Cross.started,Cross.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,Topleft.started,Topleft.stopped,Topright.started,Topright.stopped,Bottomleft.started,Bottomleft.stopped,Bottomright.started,Bottomright.stopped,Fixation_cross.started,Fixation_cross.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_noise\LZ_noise_10.jpg,LZ_noise\LZ_noise_146.jpg,LZ_noise\LZ_noise_9.jpg,LZ_noise\LZ_noise_45.jpg,4.0,LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_146.jpg,LZ_noise\LZ_noise_76.jpg,LZ_noise\LZ_noise_54.jpg,    z,0,0,0,0,15.592538799974136,None,16.633829600003082,17.671996199991554,17.66695579997031,18.67171289998805,18.631103199964855,19.630662699986715,19.630662699986715,20.630340899981093,20.630340899981093,None,22.585064699989744,None,22.585064699989744,None,22.585064699989744,None,22.585064699989744,None,21.589766199991573,22.594645100005437,z,1.963895799999591,1.005953059939202,None,5678,001,2020_Nov_22_0207,new_STLI,2020.2.4,143.7632621123343,
LZ_scrambled\LZ_scrambled_57.jpg,LZ_scrambled\LZ_scrambled_133.jpg,LZ_scrambled\LZ_scrambled_236.jpg,LZ_scrambled\LZ_scrambled_13.jpg,3.0,LZ_scrambled\LZ_scrambled_57.jpg,LZ_scrambled\LZ_scrambled_124.jpg,LZ_scrambled\LZ_scrambled_166.jpg,LZ_scrambled\LZ_scrambled_187.jpg,    a,0,1,1,1,,,24.679799799981993,25.679047300014645,25.67266829998698,26.672340999997687,26.665787699981593,27.665383799991105,27.665383799991105,28.665304499969352,28.665304499969352,None,30.667825200012885,None,30.667825200012885,None,30.667825200012885,None,30.667825200012885,None,29.67216069996357,30.67739889997756,a,0.2013944000354968,1.003021600015927,None,5678,001,2020_Nov_22_0207,new_STLI,2020.2.4,143.7632621123343,
LZ_natural\LZ_natural_12.jpg,LZ_natural\LZ_natural_163.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_174.jpg,2.0,LZ_natural\LZ_natural_161.jpg,LZ_natural\LZ_natural_191.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_37.jpg,    k,0,2,2,2,,,30.924789000011515,31.92926509998506,31.922483999980614,32.92309779999778,32.92309779999778,33.929220999998506,33.92290659999708,34.92904409999028,34.922392099979334,None,36.93088569998508,None,36.93088569998508,None,36.93088569998508,None,36.93088569998508,None,35.933110899990425,36.94116909999866,a,2.6501033999957144,1.0031425800407305,None,5678,001,2020_Nov_22_0207,new_STLI,2020.2.4,143.7632621123343,
None,None,None,None,None,None,None,None,None,None,0,3,3,3,,,39.595478100003675,40.595402500010096,40.58840179996332,41.58874909998849,41.58874909998849,42.58839429996442,42.58839429996442,43.588781300000846,43.588781300000846,None,45.58153069997206,49.58150769997155,45.58153069997206,49.58150769997155,45.58153069997206,49.58150769997155,45.58153069997206,49.58150769997155,44.58876600000076,45.589842099987436,k,9.439988600031938,1.0016617399523966,None,5678,001,2020_Nov_22_0207,new_STLI,2020.2.4,143.7632621123343,
None,None,None,None,None,None,None,None,None,None,0,4,4,4,,,55.03717580001103,56.039877699979115,56.03310810000403,57.03321439999854,57.03321439999854,58.033026599965524,58.033026599965524,59.03316739998991,59.03316739998991,None,61.02595559996553,None,61.02595559996553,None,61.02595559996553,None,61.02595559996553,None,60.0343797999667,61.03981069999281,k,1.5632757000275888,1.0001679399283603,None,5678,001,2020_Nov_22_0207,new_STLI,2020.2.4,143.7632621123343,
,,,,,,,,,,,,,,,,62.59843529999489,63.60251910000807,63.5957946999697,64.59554879995994,64.59554879995994,65.59563039999921,65.59563039999921,66.59554589999607,66.59554589999607,None,,,,,,,,,,,,,,,,,,,,,
