trial,image1,image2,image3,image4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,Cross.started,Cross.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,Topleft.started,Topleft.stopped,Topright.started,Topright.stopped,Bottomleft.started,Bottomleft.stopped,Bottomright.started,Bottomright.stopped,Fixation_cross.started,Fixation_cross.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images\Alcohol 5.jpg,images\Alcohol 8.jpg,images\Astronaut 1.jpg,images\Baby 1.jpg,0,0,0,0,11.861389000001509,None,13.000170900002558,14.021708399999625,14.017900800001371,15.020985600000131,14.993477200001507,15.993496300001425,15.993496300001425,16.99364020000212,16.99364020000212,None,18.843409400000382,22.848622100002103,18.843409400000382,22.848622100002103,18.843409400000382,22.848622100002103,18.843409400000382,22.848622100002103,17.849046800001815,18.85351029999947,k,11.576243100000283,1.0033566399979463,None,,,,001,2020_Nov_17_0114,new_STLI,2020.2.4,144.32242785426968,
2,images\Baby 2.jpg,images\Baby 3.jpg,images\Baby 4.jpg,images\Baby 5.jpg,0,1,1,1,,,30.482695500002592,31.487287600000855,31.480599300000904,32.48037680000198,32.48037680000198,33.48043139999936,33.48043139999936,34.4804604000019,34.4804604000019,None,36.44010909999997,None,36.44010909999997,None,36.44010909999997,None,36.44010909999997,None,35.44000860000233,36.45067930000005,m,3.987270900001022,1.0073828200002026,None,,,,001,2020_Nov_17_0114,new_STLI,2020.2.4,144.32242785426968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.44366690000243,None,,,,,,,
