imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,fone_control_b1.thisRepN,fone_control_b1.thisTrialN,fone_control_b1.thisN,fone_control_b1.thisIndex,ftwo_control_b1.thisRepN,ftwo_control_b1.thisTrialN,ftwo_control_b1.thisN,ftwo_control_b1.thisIndex,fthree_control_b1.thisRepN,fthree_control_b1.thisTrialN,fthree_control_b1.thisN,fthree_control_b1.thisIndex,ffour_control_b1.thisRepN,ffour_control_b1.thisTrialN,ffour_control_b1.thisN,ffour_control_b1.thisIndex,text.started,text.stopped,Crossm.started,Crossm.stopped,Presentation_image_f1_1.started,Presentation_image_f1_1.stopped,Presentation_image_f1_2.started,Presentation_image_f1_2.stopped,Presentation_image_f1_3.started,Presentation_image_f1_3.stopped,Presentation_image_f1_4.started,Presentation_image_f1_4.stopped,Fixation_cross.started,Fixation_cross.stopped,displayed_choice_image.started,displayed_choice_image.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Presentation_image_f2_1.started,Presentation_image_f2_1.stopped,Presentation_image_f2_2.started,Presentation_image_f2_2.stopped,Presentation_image_f2_3.started,Presentation_image_f2_3.stopped,Presentation_image_f2_4.started,Presentation_image_f2_4.stopped,Presentation_image_f2_5.started,Presentation_image_f2_5.stopped,Presentation_image_f2_6.started,Presentation_image_f2_6.stopped,Presentation_image_f2_7.started,Presentation_image_f2_7.stopped,Presentation_image_f2_8.started,Presentation_image_f2_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_natural\LZ_natural_137.jpg,LZ_natural\LZ_natural_129.jpg,LZ_natural\LZ_natural_89.jpg,LZ_natural\LZ_natural_97.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1.0,LZ_natural\LZ_natural_89.jpg,1.0,a,1.0,11.0,0,0,0,0,,,,,,,,,,,,,,,,,17.480064800000036,None,20.63894789999995,None,21.67680560000008,22.681648400000086,22.64725660000022,23.646932300000117,23.646932300000117,24.646931700000096,24.646931700000096,None,25.606815000000097,26.612373599999955,26.60529570000017,None,a,1,1.1104411999995136,1.0059143600001335,None,,,,,,,,,,,,,,,,,,001,2021_Jan_15_0203,new_STLI_updated,2020.2.10,144.00610585927905,
LZ_noise\LZ_noise_200.jpg,LZ_noise\LZ_noise_16.jpg,LZ_noise\LZ_noise_65.jpg,LZ_noise\LZ_noise_19.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1.0,LZ_noise\LZ_noise_228.jpg,0.0,l,3.0,31.0,0,1,1,1,,,,,,,,,,,,,,,,,,,27.726322299999993,None,28.759377100000165,29.757966699999997,29.75151199999982,30.75110070000028,30.75110070000028,31.751095800000257,31.751095800000257,None,32.73557359999995,33.73910679999972,33.73043099999995,None,l,1,0.856411300000218,1.0038147199993546,None,,,,,,,,,,,,,,,,,,001,2021_Jan_15_0203,new_STLI_updated,2020.2.10,144.00610585927905,
LZ_scrambled\LZ_scrambled_163.jpg,LZ_scrambled\LZ_scrambled_172.jpg,LZ_scrambled\LZ_scrambled_238.jpg,LZ_scrambled\LZ_scrambled_191.jpg,LZ_scrambled\LZ_scrambled_175.jpg,LZ_scrambled\LZ_scrambled_112.jpg,LZ_scrambled\LZ_scrambled_129.jpg,LZ_scrambled\LZ_scrambled_149.jpg,None,None,None,None,None,None,None,None,2.0,LZ_scrambled\LZ_scrambled_129.jpg,1.0,a,2.0,22.0,0,2,2,2,,,,,,,,,,,,,,,,,,,34.6001253000004,None,,,,,,,,,39.56977129999996,40.572735400000056,40.56392330000017,None,l,0,0.8789068999994925,1.004331679999268,None,35.8634191000001,36.31315570000061,36.355746199999885,36.80621700000029,36.855754799999886,37.30622779999976,37.35573160000058,37.806234499999846,37.85578600000008,38.3062288000001,38.35578799999985,38.80623949999972,38.85576610000044,39.30624919999991,39.35581470000034,None,,001,2021_Jan_15_0203,new_STLI_updated,2020.2.10,144.00610585927905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.45452650000061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
