imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,stimulus_type,condition_code
LZ_scrambled\LZ_scrambled_94.jpg,LZ_scrambled\LZ_scrambled_39.jpg,LZ_scrambled\LZ_scrambled_211.jpg,LZ_scrambled\LZ_scrambled_87.jpg,LZ_scrambled\LZ_scrambled_12.jpg,LZ_scrambled\LZ_scrambled_204.jpg,LZ_scrambled\LZ_scrambled_25.jpg,LZ_scrambled\LZ_scrambled_109.jpg,LZ_scrambled\LZ_scrambled_145.jpg,LZ_scrambled\LZ_scrambled_100.jpg,LZ_scrambled\LZ_scrambled_30.jpg,LZ_scrambled\LZ_scrambled_179.jpg,     ,     ,     ,     ,    3,LZ_scrambled\LZ_scrambled_91.jpg,LZ_scrambled\LZ_scrambled_169.jpg,LZ_scrambled\LZ_scrambled_165.jpg,LZ_scrambled\LZ_scrambled_94.jpg,    m,    2,   23
LZ_scrambled\LZ_scrambled_37.jpg,LZ_scrambled\LZ_scrambled_170.jpg,LZ_scrambled\LZ_scrambled_18.jpg,LZ_scrambled\LZ_scrambled_64.jpg,LZ_scrambled\LZ_scrambled_185.jpg,LZ_scrambled\LZ_scrambled_193.jpg,LZ_scrambled\LZ_scrambled_16.jpg,LZ_scrambled\LZ_scrambled_72.jpg,LZ_scrambled\LZ_scrambled_174.jpg,LZ_scrambled\LZ_scrambled_106.jpg,LZ_scrambled\LZ_scrambled_169.jpg,LZ_scrambled\LZ_scrambled_178.jpg,     ,     ,     ,     ,    3,LZ_scrambled\LZ_scrambled_185.jpg,LZ_scrambled\LZ_scrambled_186.jpg,LZ_scrambled\LZ_scrambled_140.jpg,LZ_scrambled\LZ_scrambled_72.jpg,    m,    2,   23
LZ_scrambled\LZ_scrambled_59.jpg,LZ_scrambled\LZ_scrambled_188.jpg,LZ_scrambled\LZ_scrambled_79.jpg,LZ_scrambled\LZ_scrambled_222.jpg,LZ_scrambled\LZ_scrambled_154.jpg,LZ_scrambled\LZ_scrambled_125.jpg,LZ_scrambled\LZ_scrambled_126.jpg,LZ_scrambled\LZ_scrambled_207.jpg,LZ_scrambled\LZ_scrambled_83.jpg,LZ_scrambled\LZ_scrambled_167.jpg,LZ_scrambled\LZ_scrambled_63.jpg,LZ_scrambled\LZ_scrambled_77.jpg,     ,     ,     ,     ,    3,LZ_scrambled\LZ_scrambled_192.jpg,LZ_scrambled\LZ_scrambled_192.jpg,LZ_scrambled\LZ_scrambled_188.jpg,LZ_scrambled\LZ_scrambled_63.jpg,    m,    2,   23
LZ_scrambled\LZ_scrambled_132.jpg,LZ_scrambled\LZ_scrambled_152.jpg,LZ_scrambled\LZ_scrambled_199.jpg,LZ_scrambled\LZ_scrambled_36.jpg,LZ_scrambled\LZ_scrambled_157.jpg,LZ_scrambled\LZ_scrambled_21.jpg,LZ_scrambled\LZ_scrambled_153.jpg,LZ_scrambled\LZ_scrambled_96.jpg,LZ_scrambled\LZ_scrambled_165.jpg,LZ_scrambled\LZ_scrambled_164.jpg,LZ_scrambled\LZ_scrambled_103.jpg,LZ_scrambled\LZ_scrambled_200.jpg,     ,     ,     ,     ,    3,LZ_scrambled\LZ_scrambled_40.jpg,LZ_scrambled\LZ_scrambled_139.jpg,LZ_scrambled\LZ_scrambled_15.jpg,LZ_scrambled\LZ_scrambled_199.jpg,    m,    2,   23
LZ_scrambled\LZ_scrambled_155.jpg,LZ_scrambled\LZ_scrambled_10.jpg,LZ_scrambled\LZ_scrambled_142.jpg,LZ_scrambled\LZ_scrambled_107.jpg,LZ_scrambled\LZ_scrambled_144.jpg,LZ_scrambled\LZ_scrambled_105.jpg,LZ_scrambled\LZ_scrambled_118.jpg,LZ_scrambled\LZ_scrambled_148.jpg,LZ_scrambled\LZ_scrambled_8.jpg,LZ_scrambled\LZ_scrambled_221.jpg,LZ_scrambled\LZ_scrambled_57.jpg,LZ_scrambled\LZ_scrambled_55.jpg,     ,     ,     ,     ,    3,LZ_scrambled\LZ_scrambled_123.jpg,LZ_scrambled\LZ_scrambled_150.jpg,LZ_scrambled\LZ_scrambled_109.jpg,LZ_scrambled\LZ_scrambled_8.jpg,    m,    2,   23
     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
