imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,stimulus_type,condition_code
LZ_scrambled\LZ_scrambled_75.jpg,LZ_scrambled\LZ_scrambled_44.jpg,LZ_scrambled\LZ_scrambled_234.jpg,LZ_scrambled\LZ_scrambled_82.jpg,LZ_scrambled\LZ_scrambled_124.jpg,LZ_scrambled\LZ_scrambled_31.jpg,LZ_scrambled\LZ_scrambled_90.jpg,LZ_scrambled\LZ_scrambled_29.jpg,LZ_scrambled\LZ_scrambled_7.jpg,LZ_scrambled\LZ_scrambled_211.jpg,LZ_scrambled\LZ_scrambled_138.jpg,LZ_scrambled\LZ_scrambled_198.jpg,LZ_scrambled\LZ_scrambled_154.jpg,LZ_scrambled\LZ_scrambled_97.jpg,LZ_scrambled\LZ_scrambled_207.jpg,LZ_scrambled\LZ_scrambled_91.jpg,    4,LZ_scrambled\LZ_scrambled_124.jpg,LZ_scrambled\LZ_scrambled_193.jpg,LZ_scrambled\LZ_scrambled_58.jpg,LZ_scrambled\LZ_scrambled_29.jpg,    a,    2,   24
LZ_noise\LZ_noise_104.jpg,LZ_noise\LZ_noise_64.jpg,LZ_noise\LZ_noise_185.jpg,LZ_noise\LZ_noise_55.jpg,LZ_scrambled\LZ_scrambled_107.jpg,LZ_scrambled\LZ_scrambled_185.jpg,LZ_scrambled\LZ_scrambled_118.jpg,LZ_scrambled\LZ_scrambled_49.jpg,LZ_scrambled\LZ_scrambled_157.jpg,LZ_scrambled\LZ_scrambled_197.jpg,LZ_scrambled\LZ_scrambled_170.jpg,LZ_scrambled\LZ_scrambled_149.jpg,LZ_natural\LZ_natural_87.jpg,LZ_natural\LZ_natural_105.jpg,LZ_natural\LZ_natural_38.jpg,LZ_natural\LZ_natural_156.jpg,    1,LZ_noise\LZ_noise_122.jpg,LZ_noise\LZ_noise_198.jpg,LZ_noise\LZ_noise_142.jpg,LZ_scrambled\LZ_scrambled_118.jpg,    m,    3,   31
LZ_noise\LZ_noise_153.jpg,LZ_noise\LZ_noise_86.jpg,LZ_noise\LZ_noise_56.jpg,LZ_noise\LZ_noise_37.jpg,LZ_noise\LZ_noise_79.jpg,LZ_noise\LZ_noise_210.jpg,LZ_noise\LZ_noise_73.jpg,LZ_noise\LZ_noise_69.jpg,LZ_noise\LZ_noise_23.jpg,LZ_noise\LZ_noise_1.jpg,LZ_noise\LZ_noise_159.jpg,LZ_noise\LZ_noise_85.jpg,LZ_scrambled\LZ_scrambled_60.jpg,LZ_scrambled\LZ_scrambled_89.jpg,LZ_scrambled\LZ_scrambled_234.jpg,LZ_scrambled\LZ_scrambled_87.jpg,    3,LZ_noise\LZ_noise_229.jpg,LZ_noise\LZ_noise_86.jpg,LZ_noise\LZ_noise_156.jpg,LZ_noise\LZ_noise_104.jpg,    z,    3,   33
LZ_scrambled\LZ_scrambled_55.jpg,LZ_scrambled\LZ_scrambled_92.jpg,LZ_scrambled\LZ_scrambled_70.jpg,LZ_scrambled\LZ_scrambled_99.jpg,LZ_scrambled\LZ_scrambled_18.jpg,LZ_scrambled\LZ_scrambled_164.jpg,LZ_scrambled\LZ_scrambled_102.jpg,LZ_scrambled\LZ_scrambled_90.jpg,LZ_natural\LZ_natural_25.jpg,LZ_natural\LZ_natural_81.jpg,LZ_natural\LZ_natural_222.jpg,LZ_natural\LZ_natural_82.jpg,LZ_natural\LZ_natural_68.jpg,LZ_natural\LZ_natural_89.jpg,LZ_natural\LZ_natural_150.jpg,LZ_natural\LZ_natural_61.jpg,    1,LZ_scrambled\LZ_scrambled_99.jpg,LZ_scrambled\LZ_scrambled_229.jpg,LZ_scrambled\LZ_scrambled_108.jpg,LZ_scrambled\LZ_scrambled_58.jpg,    a,    2,   21
LZ_natural\LZ_natural_28.jpg,LZ_natural\LZ_natural_103.jpg,LZ_natural\LZ_natural_197.jpg,LZ_natural\LZ_natural_97.jpg,LZ_natural\LZ_natural_91.jpg,LZ_natural\LZ_natural_162.jpg,LZ_natural\LZ_natural_174.jpg,LZ_natural\LZ_natural_84.jpg,LZ_scrambled\LZ_scrambled_155.jpg,LZ_scrambled\LZ_scrambled_236.jpg,LZ_scrambled\LZ_scrambled_162.jpg,LZ_scrambled\LZ_scrambled_128.jpg,LZ_natural\LZ_natural_152.jpg,LZ_natural\LZ_natural_51.jpg,LZ_natural\LZ_natural_234.jpg,LZ_natural\LZ_natural_81.jpg,    2,LZ_natural\LZ_natural_103.jpg,LZ_natural\LZ_natural_229.jpg,LZ_natural\LZ_natural_32.jpg,LZ_natural\LZ_natural_111.jpg,    a,    1,   12
LZ_scrambled\LZ_scrambled_117.jpg,LZ_scrambled\LZ_scrambled_81.jpg,LZ_scrambled\LZ_scrambled_193.jpg,LZ_scrambled\LZ_scrambled_165.jpg,LZ_scrambled\LZ_scrambled_226.jpg,LZ_scrambled\LZ_scrambled_76.jpg,LZ_scrambled\LZ_scrambled_141.jpg,LZ_scrambled\LZ_scrambled_224.jpg,LZ_scrambled\LZ_scrambled_228.jpg,LZ_scrambled\LZ_scrambled_161.jpg,LZ_scrambled\LZ_scrambled_35.jpg,LZ_scrambled\LZ_scrambled_146.jpg,LZ_scrambled\LZ_scrambled_208.jpg,LZ_scrambled\LZ_scrambled_53.jpg,LZ_scrambled\LZ_scrambled_134.jpg,LZ_scrambled\LZ_scrambled_19.jpg,    4,LZ_scrambled\LZ_scrambled_231.jpg,LZ_scrambled\LZ_scrambled_223.jpg,LZ_scrambled\LZ_scrambled_193.jpg,LZ_scrambled\LZ_scrambled_34.jpg,    k,    2,   24
LZ_noise\LZ_noise_29.jpg,LZ_noise\LZ_noise_116.jpg,LZ_noise\LZ_noise_117.jpg,LZ_noise\LZ_noise_70.jpg,LZ_noise\LZ_noise_135.jpg,LZ_noise\LZ_noise_200.jpg,LZ_noise\LZ_noise_189.jpg,LZ_noise\LZ_noise_180.jpg,LZ_noise\LZ_noise_143.jpg,LZ_noise\LZ_noise_168.jpg,LZ_noise\LZ_noise_149.jpg,LZ_noise\LZ_noise_204.jpg,LZ_noise\LZ_noise_212.jpg,LZ_noise\LZ_noise_28.jpg,LZ_noise\LZ_noise_174.jpg,LZ_noise\LZ_noise_36.jpg,    4,LZ_noise\LZ_noise_92.jpg,LZ_noise\LZ_noise_135.jpg,LZ_noise\LZ_noise_121.jpg,LZ_noise\LZ_noise_29.jpg,    z,    3,   34
LZ_noise\LZ_noise_61.jpg,LZ_noise\LZ_noise_13.jpg,LZ_noise\LZ_noise_44.jpg,LZ_noise\LZ_noise_188.jpg,LZ_noise\LZ_noise_7.jpg,LZ_noise\LZ_noise_203.jpg,LZ_noise\LZ_noise_11.jpg,LZ_noise\LZ_noise_101.jpg,LZ_noise\LZ_noise_42.jpg,LZ_noise\LZ_noise_114.jpg,LZ_noise\LZ_noise_31.jpg,LZ_noise\LZ_noise_121.jpg,LZ_scrambled\LZ_scrambled_171.jpg,LZ_scrambled\LZ_scrambled_47.jpg,LZ_scrambled\LZ_scrambled_41.jpg,LZ_scrambled\LZ_scrambled_195.jpg,    3,LZ_noise\LZ_noise_203.jpg,LZ_noise\LZ_noise_65.jpg,LZ_noise\LZ_noise_35.jpg,LZ_noise\LZ_noise_120.jpg,    a,    3,   33
LZ_noise\LZ_noise_144.jpg,LZ_noise\LZ_noise_112.jpg,LZ_noise\LZ_noise_22.jpg,LZ_noise\LZ_noise_126.jpg,LZ_noise\LZ_noise_53.jpg,LZ_noise\LZ_noise_33.jpg,LZ_noise\LZ_noise_15.jpg,LZ_noise\LZ_noise_152.jpg,LZ_scrambled\LZ_scrambled_43.jpg,LZ_scrambled\LZ_scrambled_63.jpg,LZ_scrambled\LZ_scrambled_102.jpg,LZ_scrambled\LZ_scrambled_130.jpg,LZ_scrambled\LZ_scrambled_31.jpg,LZ_scrambled\LZ_scrambled_99.jpg,LZ_scrambled\LZ_scrambled_115.jpg,LZ_scrambled\LZ_scrambled_199.jpg,    2,LZ_noise\LZ_noise_152.jpg,LZ_noise\LZ_noise_239.jpg,LZ_noise\LZ_noise_98.jpg,LZ_noise\LZ_noise_212.jpg,    a,    3,   32
LZ_scrambled\LZ_scrambled_227.jpg,LZ_scrambled\LZ_scrambled_100.jpg,LZ_scrambled\LZ_scrambled_144.jpg,LZ_scrambled\LZ_scrambled_142.jpg,LZ_noise\LZ_noise_130.jpg,LZ_noise\LZ_noise_85.jpg,LZ_noise\LZ_noise_144.jpg,LZ_noise\LZ_noise_142.jpg,LZ_noise\LZ_noise_235.jpg,LZ_noise\LZ_noise_183.jpg,LZ_noise\LZ_noise_165.jpg,LZ_noise\LZ_noise_59.jpg,LZ_noise\LZ_noise_230.jpg,LZ_noise\LZ_noise_215.jpg,LZ_noise\LZ_noise_2.jpg,LZ_noise\LZ_noise_118.jpg,    1,LZ_noise\LZ_noise_230.jpg,LZ_scrambled\LZ_scrambled_222.jpg,LZ_scrambled\LZ_scrambled_144.jpg,LZ_scrambled\LZ_scrambled_147.jpg,    a,    2,   21
