imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code
LZ_noise\LZ_noise_138.jpg,LZ_noise\LZ_noise_51.jpg,LZ_noise\LZ_noise_112.jpg,LZ_noise\LZ_noise_213.jpg,LZ_noise\LZ_noise_19.jpg,LZ_noise\LZ_noise_238.jpg,LZ_noise\LZ_noise_230.jpg,LZ_noise\LZ_noise_84.jpg,LZ_noise\LZ_noise_120.jpg,LZ_noise\LZ_noise_92.jpg,LZ_noise\LZ_noise_123.jpg,LZ_noise\LZ_noise_16.jpg,,,,,3,LZ_noise\LZ_noise_92.jpg,1,a,3,33
LZ_noise\LZ_noise_90.jpg,LZ_noise\LZ_noise_159.jpg,LZ_noise\LZ_noise_13.jpg,LZ_noise\LZ_noise_52.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_159.jpg,1,a,3,31
LZ_scrambled\LZ_scrambled_71.jpg,LZ_scrambled\LZ_scrambled_49.jpg,LZ_scrambled\LZ_scrambled_214.jpg,LZ_scrambled\LZ_scrambled_87.jpg,LZ_scrambled\LZ_scrambled_113.jpg,LZ_scrambled\LZ_scrambled_199.jpg,LZ_scrambled\LZ_scrambled_163.jpg,LZ_scrambled\LZ_scrambled_46.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_84.jpg,0,l,2,22
LZ_noise\LZ_noise_125.jpg,LZ_noise\LZ_noise_199.jpg,LZ_noise\LZ_noise_169.jpg,LZ_noise\LZ_noise_170.jpg,LZ_noise\LZ_noise_7.jpg,LZ_noise\LZ_noise_176.jpg,LZ_noise\LZ_noise_217.jpg,LZ_noise\LZ_noise_141.jpg,,,,,,,,,2,LZ_noise\LZ_noise_170.jpg,1,a,3,32
LZ_natural\LZ_natural_2.jpg,LZ_natural\LZ_natural_5.jpg,LZ_natural\LZ_natural_87.jpg,LZ_natural\LZ_natural_90.jpg,LZ_natural\LZ_natural_162.jpg,LZ_natural\LZ_natural_180.jpg,LZ_natural\LZ_natural_201.jpg,LZ_natural\LZ_natural_4.jpg,,,,,,,,,2,LZ_natural\LZ_natural_90.jpg,1,a,1,12
LZ_natural\LZ_natural_200.jpg,LZ_natural\LZ_natural_62.jpg,LZ_natural\LZ_natural_8.jpg,LZ_natural\LZ_natural_198.jpg,LZ_natural\LZ_natural_179.jpg,LZ_natural\LZ_natural_146.jpg,LZ_natural\LZ_natural_219.jpg,LZ_natural\LZ_natural_139.jpg,LZ_natural\LZ_natural_15.jpg,LZ_natural\LZ_natural_76.jpg,LZ_natural\LZ_natural_81.jpg,LZ_natural\LZ_natural_41.jpg,,,,,3,LZ_natural\LZ_natural_164.jpg,0,l,1,13
LZ_scrambled\LZ_scrambled_162.jpg,LZ_scrambled\LZ_scrambled_142.jpg,LZ_scrambled\LZ_scrambled_229.jpg,LZ_scrambled\LZ_scrambled_210.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_9.jpg,0,l,2,21
LZ_natural\LZ_natural_30.jpg,LZ_natural\LZ_natural_150.jpg,LZ_natural\LZ_natural_148.jpg,LZ_natural\LZ_natural_237.jpg,LZ_natural\LZ_natural_105.jpg,LZ_natural\LZ_natural_50.jpg,LZ_natural\LZ_natural_22.jpg,LZ_natural\LZ_natural_223.jpg,,,,,,,,,2,LZ_natural\LZ_natural_148.jpg,1,a,1,12
LZ_scrambled\LZ_scrambled_186.jpg,LZ_scrambled\LZ_scrambled_38.jpg,LZ_scrambled\LZ_scrambled_55.jpg,LZ_scrambled\LZ_scrambled_6.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_186.jpg,1,a,2,21
LZ_natural\LZ_natural_238.jpg,LZ_natural\LZ_natural_71.jpg,LZ_natural\LZ_natural_155.jpg,LZ_natural\LZ_natural_129.jpg,LZ_natural\LZ_natural_89.jpg,LZ_natural\LZ_natural_221.jpg,LZ_natural\LZ_natural_55.jpg,LZ_natural\LZ_natural_172.jpg,,,,,,,,,2,LZ_natural\LZ_natural_155.jpg,1,a,1,12
LZ_scrambled\LZ_scrambled_121.jpg,LZ_scrambled\LZ_scrambled_184.jpg,LZ_scrambled\LZ_scrambled_225.jpg,LZ_scrambled\LZ_scrambled_193.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_22.jpg,0,l,2,21
LZ_natural\LZ_natural_17.jpg,LZ_natural\LZ_natural_157.jpg,LZ_natural\LZ_natural_225.jpg,LZ_natural\LZ_natural_140.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_225.jpg,1,a,1,11
LZ_natural\LZ_natural_100.jpg,LZ_natural\LZ_natural_186.jpg,LZ_natural\LZ_natural_180.jpg,LZ_natural\LZ_natural_34.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_224.jpg,0,l,1,11
LZ_scrambled\LZ_scrambled_22.jpg,LZ_scrambled\LZ_scrambled_204.jpg,LZ_scrambled\LZ_scrambled_37.jpg,LZ_scrambled\LZ_scrambled_106.jpg,LZ_scrambled\LZ_scrambled_166.jpg,LZ_scrambled\LZ_scrambled_197.jpg,LZ_scrambled\LZ_scrambled_172.jpg,LZ_scrambled\LZ_scrambled_36.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_204.jpg,1,a,2,22
LZ_noise\LZ_noise_39.jpg,LZ_noise\LZ_noise_147.jpg,LZ_noise\LZ_noise_187.jpg,LZ_noise\LZ_noise_171.jpg,LZ_noise\LZ_noise_18.jpg,LZ_noise\LZ_noise_101.jpg,LZ_noise\LZ_noise_215.jpg,LZ_noise\LZ_noise_194.jpg,LZ_noise\LZ_noise_5.jpg,LZ_noise\LZ_noise_102.jpg,LZ_noise\LZ_noise_60.jpg,LZ_noise\LZ_noise_196.jpg,,,,,3,LZ_noise\LZ_noise_60.jpg,1,a,3,33
LZ_natural\LZ_natural_223.jpg,LZ_natural\LZ_natural_192.jpg,LZ_natural\LZ_natural_179.jpg,LZ_natural\LZ_natural_71.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_192.jpg,1,a,1,11
LZ_scrambled\LZ_scrambled_52.jpg,LZ_scrambled\LZ_scrambled_161.jpg,LZ_scrambled\LZ_scrambled_177.jpg,LZ_scrambled\LZ_scrambled_149.jpg,LZ_scrambled\LZ_scrambled_147.jpg,LZ_scrambled\LZ_scrambled_59.jpg,LZ_scrambled\LZ_scrambled_40.jpg,LZ_scrambled\LZ_scrambled_130.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_139.jpg,0,l,2,22
LZ_noise\LZ_noise_106.jpg,LZ_noise\LZ_noise_91.jpg,LZ_noise\LZ_noise_162.jpg,LZ_noise\LZ_noise_116.jpg,LZ_noise\LZ_noise_2.jpg,LZ_noise\LZ_noise_32.jpg,LZ_noise\LZ_noise_178.jpg,LZ_noise\LZ_noise_136.jpg,,,,,,,,,2,LZ_noise\LZ_noise_171.jpg,0,l,3,32
LZ_scrambled\LZ_scrambled_136.jpg,LZ_scrambled\LZ_scrambled_125.jpg,LZ_scrambled\LZ_scrambled_39.jpg,LZ_scrambled\LZ_scrambled_177.jpg,LZ_scrambled\LZ_scrambled_3.jpg,LZ_scrambled\LZ_scrambled_134.jpg,LZ_scrambled\LZ_scrambled_191.jpg,LZ_scrambled\LZ_scrambled_94.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_60.jpg,0,l,2,22
LZ_natural\LZ_natural_212.jpg,LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_167.jpg,LZ_natural\LZ_natural_72.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_90.jpg,0,l,1,11
LZ_natural\LZ_natural_217.jpg,LZ_natural\LZ_natural_21.jpg,LZ_natural\LZ_natural_147.jpg,LZ_natural\LZ_natural_14.jpg,LZ_natural\LZ_natural_190.jpg,LZ_natural\LZ_natural_159.jpg,LZ_natural\LZ_natural_87.jpg,LZ_natural\LZ_natural_60.jpg,LZ_natural\LZ_natural_200.jpg,LZ_natural\LZ_natural_128.jpg,LZ_natural\LZ_natural_6.jpg,LZ_natural\LZ_natural_144.jpg,,,,,3,LZ_natural\LZ_natural_190.jpg,1,a,1,13
LZ_scrambled\LZ_scrambled_234.jpg,LZ_scrambled\LZ_scrambled_186.jpg,LZ_scrambled\LZ_scrambled_141.jpg,LZ_scrambled\LZ_scrambled_98.jpg,LZ_scrambled\LZ_scrambled_202.jpg,LZ_scrambled\LZ_scrambled_120.jpg,LZ_scrambled\LZ_scrambled_216.jpg,LZ_scrambled\LZ_scrambled_158.jpg,LZ_scrambled\LZ_scrambled_217.jpg,LZ_scrambled\LZ_scrambled_97.jpg,LZ_scrambled\LZ_scrambled_206.jpg,LZ_scrambled\LZ_scrambled_69.jpg,,,,,3,LZ_scrambled\LZ_scrambled_206.jpg,1,a,2,23
LZ_noise\LZ_noise_219.jpg,LZ_noise\LZ_noise_110.jpg,LZ_noise\LZ_noise_153.jpg,LZ_noise\LZ_noise_82.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_110.jpg,1,a,3,31
LZ_natural\LZ_natural_184.jpg,LZ_natural\LZ_natural_64.jpg,LZ_natural\LZ_natural_80.jpg,LZ_natural\LZ_natural_141.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_77.jpg,0,l,1,11
LZ_noise\LZ_noise_232.jpg,LZ_noise\LZ_noise_166.jpg,LZ_noise\LZ_noise_73.jpg,LZ_noise\LZ_noise_77.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_59.jpg,0,l,3,31
LZ_scrambled\LZ_scrambled_143.jpg,LZ_scrambled\LZ_scrambled_87.jpg,LZ_scrambled\LZ_scrambled_56.jpg,LZ_scrambled\LZ_scrambled_171.jpg,LZ_scrambled\LZ_scrambled_204.jpg,LZ_scrambled\LZ_scrambled_131.jpg,LZ_scrambled\LZ_scrambled_174.jpg,LZ_scrambled\LZ_scrambled_182.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_177.jpg,0,l,2,22
LZ_scrambled\LZ_scrambled_62.jpg,LZ_scrambled\LZ_scrambled_189.jpg,LZ_scrambled\LZ_scrambled_238.jpg,LZ_scrambled\LZ_scrambled_110.jpg,LZ_scrambled\LZ_scrambled_179.jpg,LZ_scrambled\LZ_scrambled_53.jpg,LZ_scrambled\LZ_scrambled_144.jpg,LZ_scrambled\LZ_scrambled_225.jpg,LZ_scrambled\LZ_scrambled_231.jpg,LZ_scrambled\LZ_scrambled_109.jpg,LZ_scrambled\LZ_scrambled_167.jpg,LZ_scrambled\LZ_scrambled_121.jpg,,,,,3,LZ_scrambled\LZ_scrambled_229.jpg,0,l,2,23
LZ_natural\LZ_natural_219.jpg,LZ_natural\LZ_natural_232.jpg,LZ_natural\LZ_natural_124.jpg,LZ_natural\LZ_natural_56.jpg,LZ_natural\LZ_natural_117.jpg,LZ_natural\LZ_natural_142.jpg,LZ_natural\LZ_natural_230.jpg,LZ_natural\LZ_natural_90.jpg,,,,,,,,,2,LZ_natural\LZ_natural_65.jpg,0,l,1,12
LZ_noise\LZ_noise_86.jpg,LZ_noise\LZ_noise_49.jpg,LZ_noise\LZ_noise_50.jpg,LZ_noise\LZ_noise_113.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_86.jpg,1,a,3,31
LZ_natural\LZ_natural_51.jpg,LZ_natural\LZ_natural_164.jpg,LZ_natural\LZ_natural_43.jpg,LZ_natural\LZ_natural_237.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_43.jpg,1,a,1,11
LZ_noise\LZ_noise_46.jpg,LZ_noise\LZ_noise_137.jpg,LZ_noise\LZ_noise_24.jpg,LZ_noise\LZ_noise_190.jpg,LZ_noise\LZ_noise_183.jpg,LZ_noise\LZ_noise_101.jpg,LZ_noise\LZ_noise_176.jpg,LZ_noise\LZ_noise_4.jpg,LZ_noise\LZ_noise_164.jpg,LZ_noise\LZ_noise_43.jpg,LZ_noise\LZ_noise_196.jpg,LZ_noise\LZ_noise_219.jpg,,,,,3,LZ_noise\LZ_noise_141.jpg,0,l,3,33
LZ_noise\LZ_noise_131.jpg,LZ_noise\LZ_noise_145.jpg,LZ_noise\LZ_noise_224.jpg,LZ_noise\LZ_noise_194.jpg,LZ_noise\LZ_noise_205.jpg,LZ_noise\LZ_noise_79.jpg,LZ_noise\LZ_noise_30.jpg,LZ_noise\LZ_noise_133.jpg,LZ_noise\LZ_noise_9.jpg,LZ_noise\LZ_noise_160.jpg,LZ_noise\LZ_noise_200.jpg,LZ_noise\LZ_noise_223.jpg,,,,,3,LZ_noise\LZ_noise_9.jpg,1,a,3,33
LZ_natural\LZ_natural_198.jpg,LZ_natural\LZ_natural_208.jpg,LZ_natural\LZ_natural_240.jpg,LZ_natural\LZ_natural_23.jpg,LZ_natural\LZ_natural_229.jpg,LZ_natural\LZ_natural_138.jpg,LZ_natural\LZ_natural_95.jpg,LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_222.jpg,LZ_natural\LZ_natural_215.jpg,LZ_natural\LZ_natural_187.jpg,LZ_natural\LZ_natural_227.jpg,,,,,3,LZ_natural\LZ_natural_68.jpg,0,l,1,13
LZ_natural\LZ_natural_74.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_213.jpg,LZ_natural\LZ_natural_40.jpg,LZ_natural\LZ_natural_205.jpg,LZ_natural\LZ_natural_158.jpg,LZ_natural\LZ_natural_53.jpg,LZ_natural\LZ_natural_29.jpg,,,,,,,,,2,LZ_natural\LZ_natural_218.jpg,1,a,1,12
LZ_scrambled\LZ_scrambled_228.jpg,LZ_scrambled\LZ_scrambled_224.jpg,LZ_scrambled\LZ_scrambled_233.jpg,LZ_scrambled\LZ_scrambled_166.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_216.jpg,0,l,2,21
LZ_noise\LZ_noise_6.jpg,LZ_noise\LZ_noise_146.jpg,LZ_noise\LZ_noise_198.jpg,LZ_noise\LZ_noise_61.jpg,LZ_noise\LZ_noise_211.jpg,LZ_noise\LZ_noise_48.jpg,LZ_noise\LZ_noise_121.jpg,LZ_noise\LZ_noise_214.jpg,,,,,,,,,2,LZ_noise\LZ_noise_27.jpg,0,l,3,32
LZ_noise\LZ_noise_203.jpg,LZ_noise\LZ_noise_116.jpg,LZ_noise\LZ_noise_172.jpg,LZ_noise\LZ_noise_90.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_228.jpg,0,l,3,31
LZ_scrambled\LZ_scrambled_93.jpg,LZ_scrambled\LZ_scrambled_212.jpg,LZ_scrambled\LZ_scrambled_58.jpg,LZ_scrambled\LZ_scrambled_145.jpg,LZ_scrambled\LZ_scrambled_74.jpg,LZ_scrambled\LZ_scrambled_81.jpg,LZ_scrambled\LZ_scrambled_119.jpg,LZ_scrambled\LZ_scrambled_239.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_145.jpg,1,a,2,22
LZ_natural\LZ_natural_207.jpg,LZ_natural\LZ_natural_105.jpg,LZ_natural\LZ_natural_121.jpg,LZ_natural\LZ_natural_73.jpg,LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_55.jpg,LZ_natural\LZ_natural_22.jpg,LZ_natural\LZ_natural_131.jpg,,,,,,,,,2,LZ_natural\LZ_natural_207.jpg,1,a,1,12
LZ_noise\LZ_noise_55.jpg,LZ_noise\LZ_noise_235.jpg,LZ_noise\LZ_noise_157.jpg,LZ_noise\LZ_noise_221.jpg,LZ_noise\LZ_noise_10.jpg,LZ_noise\LZ_noise_151.jpg,LZ_noise\LZ_noise_42.jpg,LZ_noise\LZ_noise_228.jpg,,,,,,,,,2,LZ_noise\LZ_noise_235.jpg,1,a,3,32
LZ_noise\LZ_noise_16.jpg,LZ_noise\LZ_noise_135.jpg,LZ_noise\LZ_noise_59.jpg,LZ_noise\LZ_noise_39.jpg,LZ_noise\LZ_noise_125.jpg,LZ_noise\LZ_noise_99.jpg,LZ_noise\LZ_noise_119.jpg,LZ_noise\LZ_noise_215.jpg,LZ_noise\LZ_noise_112.jpg,LZ_noise\LZ_noise_97.jpg,LZ_noise\LZ_noise_76.jpg,LZ_noise\LZ_noise_134.jpg,,,,,3,LZ_noise\LZ_noise_38.jpg,0,l,3,33
LZ_scrambled\LZ_scrambled_64.jpg,LZ_scrambled\LZ_scrambled_106.jpg,LZ_scrambled\LZ_scrambled_140.jpg,LZ_scrambled\LZ_scrambled_7.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_216.jpg,0,l,2,21
LZ_noise\LZ_noise_108.jpg,LZ_noise\LZ_noise_227.jpg,LZ_noise\LZ_noise_66.jpg,LZ_noise\LZ_noise_13.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_70.jpg,0,l,3,31
LZ_scrambled\LZ_scrambled_90.jpg,LZ_scrambled\LZ_scrambled_61.jpg,LZ_scrambled\LZ_scrambled_1.jpg,LZ_scrambled\LZ_scrambled_168.jpg,LZ_scrambled\LZ_scrambled_31.jpg,LZ_scrambled\LZ_scrambled_197.jpg,LZ_scrambled\LZ_scrambled_63.jpg,LZ_scrambled\LZ_scrambled_161.jpg,LZ_scrambled\LZ_scrambled_113.jpg,LZ_scrambled\LZ_scrambled_89.jpg,LZ_scrambled\LZ_scrambled_48.jpg,LZ_scrambled\LZ_scrambled_137.jpg,,,,,3,LZ_scrambled\LZ_scrambled_152.jpg,0,l,2,23
LZ_noise\LZ_noise_144.jpg,LZ_noise\LZ_noise_192.jpg,LZ_noise\LZ_noise_138.jpg,LZ_noise\LZ_noise_175.jpg,LZ_noise\LZ_noise_73.jpg,LZ_noise\LZ_noise_197.jpg,LZ_noise\LZ_noise_115.jpg,LZ_noise\LZ_noise_210.jpg,LZ_noise\LZ_noise_234.jpg,LZ_noise\LZ_noise_186.jpg,LZ_noise\LZ_noise_140.jpg,LZ_noise\LZ_noise_107.jpg,,,,,3,LZ_noise\LZ_noise_73.jpg,1,a,3,33
LZ_scrambled\LZ_scrambled_139.jpg,LZ_scrambled\LZ_scrambled_157.jpg,LZ_scrambled\LZ_scrambled_130.jpg,LZ_scrambled\LZ_scrambled_44.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_219.jpg,0,l,2,21
LZ_scrambled\LZ_scrambled_107.jpg,LZ_scrambled\LZ_scrambled_215.jpg,LZ_scrambled\LZ_scrambled_9.jpg,LZ_scrambled\LZ_scrambled_196.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_215.jpg,1,a,2,21
LZ_natural\LZ_natural_118.jpg,LZ_natural\LZ_natural_91.jpg,LZ_natural\LZ_natural_58.jpg,LZ_natural\LZ_natural_239.jpg,LZ_natural\LZ_natural_113.jpg,LZ_natural\LZ_natural_99.jpg,LZ_natural\LZ_natural_41.jpg,LZ_natural\LZ_natural_115.jpg,LZ_natural\LZ_natural_133.jpg,LZ_natural\LZ_natural_104.jpg,LZ_natural\LZ_natural_101.jpg,LZ_natural\LZ_natural_45.jpg,,,,,3,LZ_natural\LZ_natural_133.jpg,1,a,1,13
LZ_scrambled\LZ_scrambled_190.jpg,LZ_scrambled\LZ_scrambled_221.jpg,LZ_scrambled\LZ_scrambled_117.jpg,LZ_scrambled\LZ_scrambled_46.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_181.jpg,0,l,2,21
LZ_noise\LZ_noise_142.jpg,LZ_noise\LZ_noise_118.jpg,LZ_noise\LZ_noise_63.jpg,LZ_noise\LZ_noise_94.jpg,LZ_noise\LZ_noise_128.jpg,LZ_noise\LZ_noise_171.jpg,LZ_noise\LZ_noise_174.jpg,LZ_noise\LZ_noise_84.jpg,,,,,,,,,2,LZ_noise\LZ_noise_15.jpg,0,l,3,32
LZ_noise\LZ_noise_91.jpg,LZ_noise\LZ_noise_29.jpg,LZ_noise\LZ_noise_72.jpg,LZ_noise\LZ_noise_56.jpg,LZ_noise\LZ_noise_159.jpg,LZ_noise\LZ_noise_32.jpg,LZ_noise\LZ_noise_3.jpg,LZ_noise\LZ_noise_199.jpg,,,,,,,,,2,LZ_noise\LZ_noise_127.jpg,0,l,3,32
LZ_natural\LZ_natural_65.jpg,LZ_natural\LZ_natural_160.jpg,LZ_natural\LZ_natural_46.jpg,LZ_natural\LZ_natural_77.jpg,LZ_natural\LZ_natural_25.jpg,LZ_natural\LZ_natural_16.jpg,LZ_natural\LZ_natural_234.jpg,LZ_natural\LZ_natural_202.jpg,LZ_natural\LZ_natural_226.jpg,LZ_natural\LZ_natural_182.jpg,LZ_natural\LZ_natural_155.jpg,LZ_natural\LZ_natural_156.jpg,,,,,3,LZ_natural\LZ_natural_227.jpg,0,l,1,13
LZ_natural\LZ_natural_201.jpg,LZ_natural\LZ_natural_1.jpg,LZ_natural\LZ_natural_62.jpg,LZ_natural\LZ_natural_125.jpg,LZ_natural\LZ_natural_149.jpg,LZ_natural\LZ_natural_194.jpg,LZ_natural\LZ_natural_174.jpg,LZ_natural\LZ_natural_188.jpg,LZ_natural\LZ_natural_12.jpg,LZ_natural\LZ_natural_183.jpg,LZ_natural\LZ_natural_148.jpg,LZ_natural\LZ_natural_137.jpg,,,,,3,LZ_natural\LZ_natural_148.jpg,1,a,1,13
LZ_noise\LZ_noise_233.jpg,LZ_noise\LZ_noise_82.jpg,LZ_noise\LZ_noise_41.jpg,LZ_noise\LZ_noise_180.jpg,LZ_noise\LZ_noise_127.jpg,LZ_noise\LZ_noise_167.jpg,LZ_noise\LZ_noise_17.jpg,LZ_noise\LZ_noise_102.jpg,,,,,,,,,2,LZ_noise\LZ_noise_151.jpg,0,l,3,32
LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_238.jpg,LZ_natural\LZ_natural_88.jpg,LZ_natural\LZ_natural_86.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_238.jpg,1,a,1,11
LZ_scrambled\LZ_scrambled_200.jpg,LZ_scrambled\LZ_scrambled_124.jpg,LZ_scrambled\LZ_scrambled_14.jpg,LZ_scrambled\LZ_scrambled_207.jpg,LZ_scrambled\LZ_scrambled_142.jpg,LZ_scrambled\LZ_scrambled_40.jpg,LZ_scrambled\LZ_scrambled_187.jpg,LZ_scrambled\LZ_scrambled_8.jpg,LZ_scrambled\LZ_scrambled_22.jpg,LZ_scrambled\LZ_scrambled_92.jpg,LZ_scrambled\LZ_scrambled_184.jpg,LZ_scrambled\LZ_scrambled_154.jpg,,,,,3,LZ_scrambled\LZ_scrambled_208.jpg,0,l,2,23
LZ_scrambled\LZ_scrambled_54.jpg,LZ_scrambled\LZ_scrambled_71.jpg,LZ_scrambled\LZ_scrambled_188.jpg,LZ_scrambled\LZ_scrambled_42.jpg,LZ_scrambled\LZ_scrambled_150.jpg,LZ_scrambled\LZ_scrambled_57.jpg,LZ_scrambled\LZ_scrambled_12.jpg,LZ_scrambled\LZ_scrambled_226.jpg,LZ_scrambled\LZ_scrambled_227.jpg,LZ_scrambled\LZ_scrambled_181.jpg,LZ_scrambled\LZ_scrambled_153.jpg,LZ_scrambled\LZ_scrambled_237.jpg,,,,,3,LZ_scrambled\LZ_scrambled_57.jpg,1,a,2,23
LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_178.jpg,LZ_noise\LZ_noise_14.jpg,LZ_noise\LZ_noise_237.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_14.jpg,1,a,3,31
LZ_scrambled\LZ_scrambled_180.jpg,LZ_scrambled\LZ_scrambled_122.jpg,LZ_scrambled\LZ_scrambled_170.jpg,LZ_scrambled\LZ_scrambled_232.jpg,LZ_scrambled\LZ_scrambled_205.jpg,LZ_scrambled\LZ_scrambled_15.jpg,LZ_scrambled\LZ_scrambled_149.jpg,LZ_scrambled\LZ_scrambled_86.jpg,LZ_scrambled\LZ_scrambled_32.jpg,LZ_scrambled\LZ_scrambled_13.jpg,LZ_scrambled\LZ_scrambled_27.jpg,LZ_scrambled\LZ_scrambled_169.jpg,,,,,3,LZ_scrambled\LZ_scrambled_149.jpg,1,a,2,23
LZ_noise\LZ_noise_20.jpg,LZ_noise\LZ_noise_111.jpg,LZ_noise\LZ_noise_218.jpg,LZ_noise\LZ_noise_208.jpg,LZ_noise\LZ_noise_57.jpg,LZ_noise\LZ_noise_216.jpg,LZ_noise\LZ_noise_60.jpg,LZ_noise\LZ_noise_51.jpg,,,,,,,,,2,LZ_noise\LZ_noise_218.jpg,1,a,3,32
LZ_scrambled\LZ_scrambled_126.jpg,LZ_scrambled\LZ_scrambled_72.jpg,LZ_scrambled\LZ_scrambled_6.jpg,LZ_scrambled\LZ_scrambled_60.jpg,LZ_scrambled\LZ_scrambled_155.jpg,LZ_scrambled\LZ_scrambled_18.jpg,LZ_scrambled\LZ_scrambled_135.jpg,LZ_scrambled\LZ_scrambled_4.jpg,LZ_scrambled\LZ_scrambled_45.jpg,LZ_scrambled\LZ_scrambled_77.jpg,LZ_scrambled\LZ_scrambled_103.jpg,LZ_scrambled\LZ_scrambled_5.jpg,,,,,3,LZ_scrambled\LZ_scrambled_134.jpg,0,l,2,23
LZ_noise\LZ_noise_123.jpg,LZ_noise\LZ_noise_193.jpg,LZ_noise\LZ_noise_191.jpg,LZ_noise\LZ_noise_37.jpg,LZ_noise\LZ_noise_110.jpg,LZ_noise\LZ_noise_8.jpg,LZ_noise\LZ_noise_64.jpg,LZ_noise\LZ_noise_11.jpg,LZ_noise\LZ_noise_148.jpg,LZ_noise\LZ_noise_27.jpg,LZ_noise\LZ_noise_169.jpg,LZ_noise\LZ_noise_217.jpg,,,,,3,LZ_noise\LZ_noise_27.jpg,1,a,3,33
LZ_natural\LZ_natural_169.jpg,LZ_natural\LZ_natural_203.jpg,LZ_natural\LZ_natural_79.jpg,LZ_natural\LZ_natural_3.jpg,LZ_natural\LZ_natural_84.jpg,LZ_natural\LZ_natural_111.jpg,LZ_natural\LZ_natural_146.jpg,LZ_natural\LZ_natural_81.jpg,LZ_natural\LZ_natural_106.jpg,LZ_natural\LZ_natural_76.jpg,LZ_natural\LZ_natural_89.jpg,LZ_natural\LZ_natural_123.jpg,,,,,3,LZ_natural\LZ_natural_66.jpg,0,l,1,13
LZ_noise\LZ_noise_74.jpg,LZ_noise\LZ_noise_132.jpg,LZ_noise\LZ_noise_47.jpg,LZ_noise\LZ_noise_49.jpg,LZ_noise\LZ_noise_163.jpg,LZ_noise\LZ_noise_240.jpg,LZ_noise\LZ_noise_181.jpg,LZ_noise\LZ_noise_207.jpg,,,,,,,,,2,LZ_noise\LZ_noise_132.jpg,1,a,3,32
LZ_natural\LZ_natural_177.jpg,LZ_natural\LZ_natural_168.jpg,LZ_natural\LZ_natural_191.jpg,LZ_natural\LZ_natural_26.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_14.jpg,0,l,1,11
LZ_noise\LZ_noise_153.jpg,LZ_noise\LZ_noise_104.jpg,LZ_noise\LZ_noise_201.jpg,LZ_noise\LZ_noise_77.jpg,LZ_noise\LZ_noise_220.jpg,LZ_noise\LZ_noise_92.jpg,LZ_noise\LZ_noise_120.jpg,LZ_noise\LZ_noise_213.jpg,,,,,,,,,2,LZ_noise\LZ_noise_197.jpg,0,l,3,32
LZ_noise\LZ_noise_87.jpg,LZ_noise\LZ_noise_105.jpg,LZ_noise\LZ_noise_182.jpg,LZ_noise\LZ_noise_155.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_128.jpg,0,l,3,31
