imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code
LZ_scrambled\LZ_scrambled_216.jpg,LZ_scrambled\LZ_scrambled_202.jpg,LZ_scrambled\LZ_scrambled_66.jpg,LZ_scrambled\LZ_scrambled_73.jpg,LZ_scrambled\LZ_scrambled_92.jpg,LZ_scrambled\LZ_scrambled_152.jpg,LZ_scrambled\LZ_scrambled_158.jpg,LZ_scrambled\LZ_scrambled_90.jpg,LZ_scrambled\LZ_scrambled_156.jpg,LZ_scrambled\LZ_scrambled_18.jpg,LZ_scrambled\LZ_scrambled_128.jpg,LZ_scrambled\LZ_scrambled_194.jpg,,,,,3,LZ_scrambled\LZ_scrambled_92.jpg,1,a,2,23
LZ_natural\LZ_natural_73.jpg,LZ_natural\LZ_natural_130.jpg,LZ_natural\LZ_natural_202.jpg,LZ_natural\LZ_natural_95.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_73.jpg,1,a,1,11
LZ_noise\LZ_noise_69.jpg,LZ_noise\LZ_noise_214.jpg,LZ_noise\LZ_noise_45.jpg,LZ_noise\LZ_noise_191.jpg,LZ_noise\LZ_noise_182.jpg,LZ_noise\LZ_noise_44.jpg,LZ_noise\LZ_noise_47.jpg,LZ_noise\LZ_noise_237.jpg,,,,,,,,,2,LZ_noise\LZ_noise_71.jpg,0,l,3,32
LZ_scrambled\LZ_scrambled_168.jpg,LZ_scrambled\LZ_scrambled_150.jpg,LZ_scrambled\LZ_scrambled_138.jpg,LZ_scrambled\LZ_scrambled_223.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_57.jpg,0,l,2,21
LZ_natural\LZ_natural_160.jpg,LZ_natural\LZ_natural_3.jpg,LZ_natural\LZ_natural_36.jpg,LZ_natural\LZ_natural_21.jpg,,,,,,,,,,,,,1,LZ_natural\LZ_natural_160.jpg,1,a,1,11
LZ_noise\LZ_noise_95.jpg,LZ_noise\LZ_noise_206.jpg,LZ_noise\LZ_noise_65.jpg,LZ_noise\LZ_noise_33.jpg,LZ_noise\LZ_noise_94.jpg,LZ_noise\LZ_noise_75.jpg,LZ_noise\LZ_noise_83.jpg,LZ_noise\LZ_noise_25.jpg,LZ_noise\LZ_noise_188.jpg,LZ_noise\LZ_noise_130.jpg,LZ_noise\LZ_noise_193.jpg,LZ_noise\LZ_noise_10.jpg,,,,,3,LZ_noise\LZ_noise_71.jpg,0,l,3,33
LZ_noise\LZ_noise_128.jpg,LZ_noise\LZ_noise_55.jpg,LZ_noise\LZ_noise_135.jpg,LZ_noise\LZ_noise_72.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_23.jpg,0,l,3,31
LZ_scrambled\LZ_scrambled_133.jpg,LZ_scrambled\LZ_scrambled_167.jpg,LZ_scrambled\LZ_scrambled_191.jpg,LZ_scrambled\LZ_scrambled_11.jpg,LZ_scrambled\LZ_scrambled_60.jpg,LZ_scrambled\LZ_scrambled_124.jpg,LZ_scrambled\LZ_scrambled_127.jpg,LZ_scrambled\LZ_scrambled_151.jpg,LZ_scrambled\LZ_scrambled_230.jpg,LZ_scrambled\LZ_scrambled_108.jpg,LZ_scrambled\LZ_scrambled_48.jpg,LZ_scrambled\LZ_scrambled_84.jpg,,,,,3,LZ_scrambled\LZ_scrambled_232.jpg,0,l,2,23
LZ_scrambled\LZ_scrambled_63.jpg,LZ_scrambled\LZ_scrambled_83.jpg,LZ_scrambled\LZ_scrambled_34.jpg,LZ_scrambled\LZ_scrambled_135.jpg,LZ_scrambled\LZ_scrambled_30.jpg,LZ_scrambled\LZ_scrambled_205.jpg,LZ_scrambled\LZ_scrambled_178.jpg,LZ_scrambled\LZ_scrambled_93.jpg,LZ_scrambled\LZ_scrambled_187.jpg,LZ_scrambled\LZ_scrambled_77.jpg,LZ_scrambled\LZ_scrambled_211.jpg,LZ_scrambled\LZ_scrambled_195.jpg,,,,,3,LZ_scrambled\LZ_scrambled_219.jpg,0,l,2,23
LZ_natural\LZ_natural_195.jpg,LZ_natural\LZ_natural_103.jpg,LZ_natural\LZ_natural_164.jpg,LZ_natural\LZ_natural_24.jpg,LZ_natural\LZ_natural_88.jpg,LZ_natural\LZ_natural_183.jpg,LZ_natural\LZ_natural_171.jpg,LZ_natural\LZ_natural_192.jpg,,,,,,,,,2,LZ_natural\LZ_natural_164.jpg,1,a,1,12
LZ_noise\LZ_noise_15.jpg,LZ_noise\LZ_noise_17.jpg,LZ_noise\LZ_noise_164.jpg,LZ_noise\LZ_noise_42.jpg,LZ_noise\LZ_noise_222.jpg,LZ_noise\LZ_noise_209.jpg,LZ_noise\LZ_noise_177.jpg,LZ_noise\LZ_noise_204.jpg,LZ_noise\LZ_noise_133.jpg,LZ_noise\LZ_noise_221.jpg,LZ_noise\LZ_noise_131.jpg,LZ_noise\LZ_noise_57.jpg,,,,,3,LZ_noise\LZ_noise_166.jpg,0,l,3,33
LZ_scrambled\LZ_scrambled_115.jpg,LZ_scrambled\LZ_scrambled_116.jpg,LZ_scrambled\LZ_scrambled_160.jpg,LZ_scrambled\LZ_scrambled_25.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_194.jpg,0,l,2,21
